drug_name,drug_smile,drug__d,drug__p,drug__h,excp_name,excp_smile,excp__d,excp__p,excp__h,HSP_distance,class
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,17.29545915,19.07694911,17.48052125,104.6690141,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,borneol,C[C@]12CC[C@H](C1(C)C)C[C@H]2O,16.76918117,5.855849954,10.92557587,39.95782027,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,19.17805714,9.240588986,6.822153965,30.53549824,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,18.27396772,13.82660448,15.49386628,21.56298531,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,squalene,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,16.0601683,1.555463302,7.342429252,134.4949923,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,benzaldehyde,C1=CC=C(C=C1)C=O,19.33866272,7.933888592,5.663796399,50.61006886,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,sodium_deoxycholate,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],17.36179797,6.572261802,13.22197792,26.31663858,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,cholic_acid,C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@H]3[C@H]2[C@H](O)C[C@H]4[C@]3(C)CC[C@@H](O)C4)CCC(O)=O,17.9143639,4.766671136,12.06720837,39.20620733,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,glycocholic_acid,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,18.08331659,5.07050739,12.45693591,34.9650742,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,sucrose_octaacetate,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,17.21068236,7.506583181,11.51565043,19.47503518,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,trans_anethole,C/C=C/C1=CC=C(C=C1)OC,16.87061444,3.871616028,6.389237294,92.50782915,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,17.93043628,10.04934806,11.90617426,2.587979957,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,terpinyl_butyrate,CCCC(=O)OC(C)(C)[C@@H]1CCC(=CC1)C,15.86904593,5.299340291,6.298779619,93.64634252,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,18.75260979,4.84200912,12.00534993,36.34854203,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,candesartan_cilexetil,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,18.55694965,6.941073413,10.57701655,17.40111256,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,neohesperidin_DC,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,17.54721893,12.27368846,15.6283856,19.87833021,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,ursodiol,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,17.88213379,4.357631319,11.48982527,44.78858578,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,18.32334593,13.08746216,9.113537415,13.54456899,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,eucalyptol,CC1(C2CCC(O1)(CC2)C)C,16.51007803,2.335305343,4.154605885,151.9352199,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,beta_carotene,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,17.70583094,4.037987619,6.183207108,83.64156387,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,menthol,CC1CCC(C(C1)O)C(C)C,17.075068,3.098651667,8.72143948,80.55433417,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,alpha-terpineol,CC1=CCC(CC1)C(C)(C)O,16.24289246,5.505595677,9.827451344,56.03462227,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,fenchyl_alcohol,CC1(C2CCC(C2)(C1O)C)C,16.47441762,3.0316424,10.24582655,82.85065315,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,biotin,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,17.11675643,10.53965592,12.03278584,9.177412952,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,xylitol,C([C@H](C([C@H](CO)O)O)O)O,17.24777617,18.45773058,20.11130082,131.2310588,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,trans-cinnamic_acid,C1=CC=C(C=C1)/C=C/C(=O)O,19.76694015,8.831582297,11.54891619,9.565760365,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,thimerosal,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+],17.50724647,10.08029638,7.554322914,25.22769009,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,tyramine,C1=CC(=CC=C1CCN)O,17.71689349,12.31692235,15.27636872,16.21681459,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,fumaric_acid,C(=C/C(=O)O)\C(=O)O,18.31305067,6.785640336,15.72073292,30.97818522,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,congo_red,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],19.21848251,10.84209423,13.35241327,3.289479802,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,vanillin,COC1=C(C=CC(=C1)C=O)O,16.30847674,11.0059001,14.15513227,26.14555398,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,17.86396885,9.401770869,11.69051826,4.530599955,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,19.14074722,16.08038085,24.91209957,195.3654629,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,vitamin_A_palmitate,CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C,17.44471085,5.375220407,6.865113835,61.90950267,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,acetylcholine_chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],16.51409847,7.657829123,7.553692548,47.71139022,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,dibutyl_phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,17.84468084,9.55408269,4.109953303,66.16519852,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,trometamol,C(C(CO)(CO)N)O,17.17302412,13.38788004,22.45891023,124.4574985,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,benzoyl_peroxide,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,18.23868347,8.594894072,6.374837113,37.22480882,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,triethyl_citrate,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,15.60077164,8.809795459,11.12561857,41.48830301,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C,16.08888897,8.018880231,8.894266257,43.33547839,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,glycerol,C(C(CO)O)O,17.30957546,11.38302748,28.46080167,278.595494,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,propylene_glycol,CC(CO)O,16.5921309,9.266816167,21.28404374,105.5060415,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,18.34275798,12.08449961,11.00809628,2.754908111,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,L-proline,C1C[C@H](NC1)C(=O)O,18.46214255,9.123651976,14.07922253,7.519586525,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,L-lysine,C(CCN)C[C@@H](C(=O)O)N,17.48435203,9.220371578,19.16535034,59.4363225,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,L-ascorbic_acid,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,17.99997488,14.61558237,18.12531746,53.31069873,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,stearic_acid,CCCCCCCCCCCCCCCCCC(=O)O,15.9679568,3.264248951,9.628027264,91.52114629,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,(R)-(+)-Limonene,CC1=CC[C@@H](CC1)C(=C)C,17.04413445,2.860487845,2.641368182,161.3572071,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,meglumine,CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,17.51857549,18.50488788,17.97640554,99.12720683,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,19.6585418,14.64130525,15.00561432,27.67194466,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,ketoprofen,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,18.20825323,11.37510422,10.09352339,4.52623014,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,memantine_hydrochloride,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,16.64548038,5.760877725,7.358415891,63.10079761,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,naproxen_sodium,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],17.86567825,11.09989507,7.823769206,19.66698441,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,17.58173425,18.39771173,23.01200716,182.6512384,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,D-sorbitol,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,17.58173425,18.39771173,23.01200716,182.6512384,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,tannic_acid,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,18.60804731,8.764331316,12.57266315,4.75969454,1
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,rhodamine_B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],18.68739446,7.892066589,11.23325753,9.423177455,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,18.5047025,8.057324328,11.7200003,8.010970697,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,18.57408235,9.089248891,11.35851366,3.557092037,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,certirizine,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,18.43809521,8.751515363,10.88576544,5.813888876,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,budesonide,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,18.72161024,5.760696253,12.2545462,26.16894748,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,etidronic_acid,CC(O)(P(=O)(O)O)P(=O)(O)O.O,17.89040908,14.35745461,17.57902604,45.62520712,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,emtricitabine,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,18.23505167,14.45293407,15.35307489,24.8112584,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,metoprolol(+)-tartrate,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,18.29472952,7.36625122,12.4358384,12.87604558,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,18.48868412,14.34978036,10.70921639,13.84214777,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,propranolol_hydrochloride,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,17.92083239,7.287579326,11.6790109,14.86370449,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,captan,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,18.84909151,10.77939218,6.840655097,26.68318505,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,neotame,CC(C)(C)CCN[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,17.8558261,7.249571049,10.58524185,17.38592722,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,alendronate_sodium,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.[Na+],17.70444747,17.15034673,16.72238197,65.30983135,0
Sorafenib,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,18.62250542,10.86533406,11.98559766,piroxicam,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,18.0378504,13.89256853,10.41489012,12.99855675,0
